Word,Count
the,60
reunion,34
part,33
a,26
and,23
of,17
it,12
you,12
in,12
2,11
1,11
all,8
on,8
new,8
3,7
girl,7
party,6
is,6
out,6
not,6
no,6
up,5
countess,5
your,5
like,5
what,5
to,5
friendship,4
newyork,4
lost,4
back,4
dont,4
hamptons,4
wife,4
ramona,4
make,4
night,4
footage,4
just,3
an,3
say,3
house,3
love,3
brunch,3
more,3
cabaret,3
about,3
for,3
something,3
sonja,3
there,3
place,3
be,3
happens,3
two,3
if,3
well,3
island,3
last,3
how,3
fashionably,2
call,2
birthday,2
divided,2
has,2
dysfunction,2
madness,2
debt,2
business,2
war,2
dirty,2
at,2
mean,2
behavior,2
model,2
here,2
room,2
doesnt,2
barths,2
st,2
or,2
never,2
s*,2
hard,2
go,2
apple,2
by,2
good,2
uk,2
life,2
them,2
unhappy,2
holidays,2
so,2
do,2
fall,2
that,2
town,2
mind,2
runway,2
are,2
stay,2
get,2
bride,2
aint,2
high,2
special,2
invitation,2
b*,2
bethenny,2
as,2
revealed,2
secrets,2
have,2
fashion,2
off,2
nothing,2
interrupted,2
ho,2
old,2
bait,1
making,1
shark,1
bronx,1
shame,1
clam,1
southampton,1
going,1
tale,1
things,1
regency,1
confused,1
sleeping,1
phone-y,1
tears,1
breakups,1
broads,1
birds,1
story,1
etiquette,1
politics,1
kind,1
black,1
fishes,1
with,1
wishful,1
bidding,1
return,1
berserkshires,1
notice,1
weeks,1
home,1
summer,1
mayflower,1
til,1
us,1
pos,1
relaxation,1
arrest,1
thorn,1
its,1
tea,1
tat,1
every,1
wishes,1
funeral,1
weddings,1
grief,1
clown,1
relief,1
code,1
penal,1
frittered,1
holidazed,1
dating,1
mouth,1
they,1
tequila-thon,1
slippery,1
slope,1
oil,1
broke,1
vinegar,1
ship,1
three,1
tequila…,1
floor,1
thank,1
dreams,1
dinner,1
gouls,1
wanna,1
arguing,1
fun,1
running,1
who,1
guess,1
wigging,1
faux,1
meet,1
shalloween,1
upstate,1
valentine,1
gal,1
mine,1
moaning,1
b*ing,1
pains,1
hanger,1
inside,1
cold,1
it’s,1
baby,1
hour,1
witching,1
bored,1
stiff,1
feather,1
light,1
trials,1
salem,1
harlem,1
electile,1
roses,1
throw,1
stop,1
nude,1
doppelgang,1
so*that,1
happened,1
sow,1
connecticut-ing,1
swingers,1
healed,1
phone,1
missing,1
case,1
nature,1
naughty-ical,1
anguilla,1
vanilla,1
classy,1
wreath,1
era,1
sorry,1
anniversorry,1
absent,1
teresting,1
brynn,1
most,1
shakshuka,1
truths,1
tree,1
christmas,1
oh,1
tiffany,1
tiff,1
putting,1
lower,1
hurricane,1
bath,1
russian,1
heat,1
talk,1
take,1
cant,1
ya,1
sip,1
mansion,1
level,1
stooping,1
brewing,1
groove,1
joseph,1
jesus,1
feelin,1
than,1
ex,1
between,1
caught,1
miami,1
land,1
luann,1
leah,1
him,1
interest,1
hump,1
rate,1
burning,1
big,1
la,1
viva,1
mob,1
century,1
21st,1
cenotes,1
wrong,1
hitting,1
merry-achi,1
leave,1
very,1
sheer,1
manners,1
stone,1
blue,1
remember,1
jovani,1
feeling,1
scary,1
drink,1
eat,1
low,1
london,1
3[133],1
pecking,1
becomes,1
morocco,1
riad,1
teller,1
misfortune,1
reservations,1
travel,1
faces,1
mask,1
orders,1
follow,1
sand,1
ed,1
mess,1
hairy,1
march,1
bare,1
grin,1
renewed,1
reunited,1
rebuked,1
shunburn,1
her,1
sixteen,1
skip,1
sweet,1
this,1
where,1
me,1
want,1
dad,1
ol,1
wine,1
blinded,1
bad,1
trip,1
youre,1
im,1
cool,1
diss-invite,1
boozy,1
duel,1
killed,1
video,1
burlesque,1
heart,1
tweeting,1
psychosis,1
sun,1
spin,1
horses,1
fast,1
feud,1
set,1
game,1
vs,1
kelly,1
run-in,1
state,1
say*,1
nice,1
their,1
overboard,1
surrender,1
but,1
retreat*,1
chances,1
second,1
bites,1
she,1
careful,1
social,1
week,1
lane,1
unfashionably,1
late,1
van,1
housewife,1
look,1
before,1
leap,1
message,1
ring,1
see,1
let,1
money,1
ambush,1
press,1
hot,1
fighting,1
manhattan,1
parties,1
day,1
labor,1
dueling,1
alliances,1
charity,1
kempens,1
toast,1
pirate,1
2[133],1
beginnings,1
affair,1
intimates,1
news,1
spreading,1
start,1
live,1
watch,1
100th,1
a*,1
my,1
rumble,1
berks,1
calling,1
charitable,1
awfully,1
uncool,1
blocked,1
conch,1
manor,1
lord,1
fired,1
crazy,1
biggest,1
boob,1
bbq,1
bust,1
1[133],1
tomfoolery,1
evidence,1
body,1
finally,1
we,1
away,1
bets,1
benefits,1
calzones,1
steel,1
always,1
county,1
berkshires,1
december,1
men,1
laundry,1
airing,1
point,1
tipsying,1
bashing,1
pop,1
cavi-art,1
booty,1
were,1
requiem,1
trap,1
voyage,1
bon,1
splash,1
unforgivable,1
fireworks,1
anniversary,1
queens,1
drag,1
thinks,1
matters,1
everybody,1
holla,1
ghostwriter,1
give,1
can,1
end,1
daddy,1
wanted,1
i,1
vacation,1
poodle,1
win,1
lies,1
facials,1
family,1
delusion,1
down,1
double,1
own,1
cougar,1
being,1
art,1
brunches,1
battle,1
grudges,1
leg,1
harry,1
sing,1
hatchet,1
bury,1
mountain,1
yell,1
spats,1
gallon,1
ten,1
dots,1
